sheet	longname	prefix	key	keystrokes	jump	selection	modifies	logged	video	menupath	helpstr
Sheet	plot-numerics	g	.	g.	canvas	n	n	y		data-plot-allnumeric	open a graph of all visible numeric columns vs key column
Sheet	prev-null	z	<	z<	n	n	n	n		view-go-prev-null	move up the current column to the next null value
Sheet	prev-page		^B	^B	n	n	n	n			scroll one page backward
Sheet	prev-search		N	N	n	n	n	n		view-find-backward-repeat	move to previous match from last search
Sheet	prev-selected		{	{	n	use	n	n	2	view-go-prev-selected	move up the current column to the previous selected row
Sheet	prev-value		<	<	n	n	n	n		view-go-prev-value	move up the current column to the next value
Sheet	pyobj-cell	z	^Y	z^Y	meta	n	n	y		python-push-cell-object	open current cell as Python object
Sheet	pyobj-row		^Y	^Y	meta	n	n	y		python-push-row-object	open current row as Python object
Sheet	random-rows		R	R	derived	n	n	y		rows-select-random	open duplicate sheet with a random population subset of # rows
Sheet	reload-row	z	^R	z^R	n	n	unmodifies	y			
Sheet	reload-selected	gz	^R	gz^R	n	n	unmodifies	y			
Sheet	reload-sheet		^R	^R	n	n	should confirm if modified; marks as unmodified	y	4,5	sheet-reload	reload current sheet
Sheet	rename-col		^	^	n	n	y	y	3	column-name-input	edit name of current column
Sheet	rename-col-selected	z	^	z^	n	y	y	y		column-name-cell	set name of current column to combined contents of current cell in selected rows (or current row)
Sheet	rename-cols-row	g	^	g^	n	n	y	y		column-name-all-selected	set names of all unnamed visible columns to contents of selected rows (or current row)
Sheet	rename-cols-selected	gz	^	gz^	n	use	y	y		column-name-selected	set names of all visible columns to combined contents of selected rows (or current row)
Sheet	resize-col	z	_	z_	n	n	n	n		column-width-input	adjust current column width to given number
Sheet	resize-col-half	z	-	z-	n	n	n	n		column-width-half	reduce width of current column by half
Sheet	resize-col-max		_	_	n	n	n	n	2	column-width-full	adjust width of current column to full
Sheet	resize-cols-max	g	_	g_	n	n	n	n		column-width-all-full	adjust width of all visible columns to full
Sheet	save-col	z	^S	z^S	n	n	n	y		sheet-save-column	save current column to filename in format determined by extension
Sheet	save-sheet		^S	^S	n	n	n	y	2,4	sheet-save	save current sheet to filename in format determined by extension (default .tsv)
Sheet	scroll-down	z	j	zj	n	n	n	n			scroll one row down
Sheet	scroll-down			REPORT_MOUSE_POSITION	n	n	n	n		view-scroll-down	move scroll_incr backward
Sheet	scroll-left	z	h	zh	n	n	n	n			scroll one column left
Sheet	scroll-leftmost				n	n	n	n			scroll sheet to leftmost column
Sheet	scroll-middle	z	z	zz	n	n	n	n			scroll current row to center of screen
Sheet	scroll-mouse			BUTTON1_RELEASED	n	n	n	n		view-scroll-mouse-row	
Sheet	scroll-right	z	l	zl	n	n	n	n			scroll one column right
Sheet	scroll-rightmost				n	n	n	n			scroll sheet to rightmost column
Sheet	scroll-up	z	k	zk	n	n	n	n			scroll one row up
Sheet	scroll-up			BUTTON4_PRESSED	n	n	n	n		view-scroll-up	move scroll_incr forward
Sheet	search-col		/	/	n	n	n	n	2	view-find-row-curcol-forward	search for regex forwards in current column
Sheet	search-cols	g	/	g/	n	n	n	n		view-find-row-viscol-forward	search for regex forwards over all visible columns
Sheet	search-expr	z	/	z/	n	n	n	n			search by Python expression forwards
Sheet	search-keys		r	r	n	n	n	n		view-go-row-regex	move to the next row with key matching regex
Sheet	searchr-col		?	?	n	n	n	n		view-find-row-curcol-backward	search for regex backwards in current column
